"month","production_type","gwh"
"2023M12","Vindkraft","2889"
"2023M12","Vattenkraft","6795"
"2023M12","Karnkraft","4953"
"2023M12","Solkraft","14"
"2024M01","Total","17343"
"2024M01","VarmekrEjF","264"
"2024M01","VarmekrF","1200"
"2024M01","Vindkraft","4669"
"2024M01","Vattenkraft","6559"
"2024M01","Karnkraft","4609"
"2024M01","Solkraft","41"
"2024M02","Total","15744"
"2024M02","VarmekrEjF","144"
"2024M02","VarmekrF","1094"
"2024M02","Vindkraft","3774"
"2024M02","Vattenkraft","5993"
"2024M02","Karnkraft","4652"
"2024M02","Solkraft","86"
"2024M03","Total","15737"
"2024M03","VarmekrEjF","146"
"2024M03","VarmekrF","1229"
"2024M03","Vindkraft","2752"
"2024M03","Vattenkraft","6545"
"2024M03","Karnkraft","4819"
"2024M03","Solkraft","245"
"2024M04","Total","13672"
"2024M04","VarmekrEjF","167"
"2024M04","VarmekrF","1017"
"2024M04","Vindkraft","2880"
"2024M04","Vattenkraft","5440"
"2024M04","Karnkraft","3797"
"2024M04","Solkraft","372"
"2024M05","Total","12992"
"2024M05","VarmekrEjF","128"
"2024M05","VarmekrF","699"
"2024M05","Vindkraft","2235"
"2024M05","Vattenkraft","5608"
"2024M05","Karnkraft","3558"
"2024M05","Solkraft","763"
"2024M06","Total","11494"
"2024M06","VarmekrEjF","139"
"2024M06","VarmekrF","619"
"2024M06","Vindkraft","2318"
"2024M06","Vattenkraft","4289"
"2024M06","Karnkraft","3482"
"2024M06","Solkraft","647"
"2024M07","Total","11550"
"2024M07","VarmekrEjF","132"
"2024M07","VarmekrF","639"
"2024M07","Vindkraft","2125"
"2024M07","Vattenkraft","4411"
"2024M07","Karnkraft","3639"
"2024M07","Solkraft","604"
"2024M08","Total","12890"
"2024M08","VarmekrEjF","81"
"2024M08","VarmekrF","625"
"2024M08","Vindkraft","3097"
"2024M08","Vattenkraft","4195"
"2024M08","Karnkraft","4331"
"2024M08","Solkraft","560"
"2024M09","Total","12213"
"2024M09","VarmekrEjF","86"
"2024M09","VarmekrF","491"
"2024M09","Vindkraft","2808"
"2024M09","Vattenkraft","4999"
"2024M09","Karnkraft","3393"
"2024M09","Solkraft","437"
"2024M10","Total","14055"
"2024M10","VarmekrEjF","89"
"2024M10","VarmekrF","554"
"2024M10","Vindkraft","3948"
"2024M10","Vattenkraft","5233"
"2024M10","Karnkraft","3992"
"2024M10","Solkraft","238"
"2024M11","Total","15462"
"2024M11","VarmekrEjF","131"
"2024M11","VarmekrF","908"
"2024M11","Vindkraft","4639"
"2024M11","Vattenkraft","5563"
"2024M11","Karnkraft","4104"
"2024M11","Solkraft","117"
"2024M12","Total","16621"
"2024M12","VarmekrEjF","147"
"2024M12","VarmekrF","1034"
"2024M12","Vindkraft","5548"
"2024M12","Vattenkraft","5526"
"2024M12","Karnkraft","4330"
"2024M12","Solkraft","35"
"2025M01","Total","17049"
"2025M01","VarmekrEjF","161"
"2025M01","VarmekrF","1119"
"2025M01","Vindkraft","4546"
"2025M01","Vattenkraft","6846"
"2025M01","Karnkraft","4332"
"2025M01","Solkraft","44"
"2025M02","Total","15789"
"2025M02","VarmekrEjF","150"
"2025M02","VarmekrF","1123"
"2025M02","Vindkraft","3379"
"2025M02","Vattenkraft","6389"
"2025M02","Karnkraft","4577"
"2025M02","Solkraft","172"
"2025M03","Total","16283"
"2025M03","VarmekrEjF","146"
"2025M03","VarmekrF","1049"
"2025M03","Vindkraft","4223"
"2025M03","Vattenkraft","5713"
"2025M03","Karnkraft","4674"
"2025M03","Solkraft","478"
"2025M04","Total","13910"
"2025M04","VarmekrEjF","141"
"2025M04","VarmekrF","828"
"2025M04","Vindkraft","2927"
"2025M04","Vattenkraft","5512"
"2025M04","Karnkraft","3898"
"2025M04","Solkraft","604"
"2025M05","Total","12429"
"2025M05","VarmekrEjF","140"
"2025M05","VarmekrF","738"
"2025M05","Vindkraft","3321"
"2025M05","Vattenkraft","4301"
"2025M05","Karnkraft","3328"
"2025M05","Solkraft","602"
"2025M06","Total","11347"
"2025M06","VarmekrEjF","122"
"2025M06","VarmekrF","569"
"2025M06","Vindkraft","2641"
"2025M06","Vattenkraft","4117"
"2025M06","Karnkraft","3233"
"2025M06","Solkraft","665"
"2025M07","Total","12113"
"2025M07","VarmekrEjF","119"
"2025M07","VarmekrF","549"
"2025M07","Vindkraft","1542"
"2025M07","Vattenkraft","5973"
"2025M07","Karnkraft","3285"
"2025M07","Solkraft","646"
"2025M08","Total","11898"
"2025M08","VarmekrEjF","89"
"2025M08","VarmekrF","597"
"2025M08","Vindkraft","2674"
"2025M08","Vattenkraft","5127"
"2025M08","Karnkraft","2814"
"2025M08","Solkraft","596"
"2025M09","Total","11579"
"2025M09","VarmekrEjF","88"
"2025M09","VarmekrF","560"
"2025M09","Vindkraft","2642"
"2025M09","Vattenkraft","5123"
"2025M09","Karnkraft","2800"
"2025M09","Solkraft","367"
"2025M10","Total","13185"
"2025M10","VarmekrEjF","133"
"2025M10","VarmekrF","687"
"2025M10","Vindkraft","3281"
"2025M10","Vattenkraft","5637"
"2025M10","Karnkraft","3271"
"2025M10","Solkraft","177"
"2025M11","Total","15397"
"2025M11","VarmekrEjF","161"
"2025M11","VarmekrF","1024"
"2025M11","Vindkraft","3540"
"2025M11","Vattenkraft","6497"
"2025M11","Karnkraft","4123"
"2025M11","Solkraft","52"
"2025M12","Total","16907"
"2025M12","VarmekrEjF","155"
"2025M12","VarmekrF","1175"
"2025M12","Vindkraft","4257"
"2025M12","Vattenkraft","6840"
"2025M12","Karnkraft","4452"
"2025M12","Solkraft","28"
"2026M01","Total","18257"
"2026M01","VarmekrEjF","272"
"2026M01","VarmekrF","1437"
"2026M01","Vindkraft","3248"
"2026M01","Vattenkraft","8144"
"2026M01","Karnkraft","5113"
"2026M01","Solkraft","42"
"2026M02","Total","16295"
"2026M02","VarmekrEjF","250"
"2026M02","VarmekrF","1339"
"2026M02","Vindkraft","3207"
"2026M02","Vattenkraft","6833"
"2026M02","Karnkraft","4552"
"2026M02","Solkraft","113"
"2026M03","Total","15524"
"2026M03","VarmekrEjF","174"
"2026M03","VarmekrF","1232"
"2026M03","Vindkraft","4768"
"2026M03","Vattenkraft","5516"
"2026M03","Karnkraft","3455"
"2026M03","Solkraft","378"
"2026M04","Total","13728"
"2026M04","VarmekrEjF","163"
"2026M04","VarmekrF","1023"
"2026M04","Vindkraft","3721"
"2026M04","Vattenkraft","5044"
"2026M04","Karnkraft","3106"
"2026M04","Solkraft","670"
"2026M05","Total","12019"
"2026M05","VarmekrEjF","146"
"2026M05","VarmekrF","906"
"2026M05","Vindkraft","2992"
"2026M05","Vattenkraft","4807"
"2026M05","Karnkraft","2467"
"2026M05","Solkraft","701"
"2026M06","Total","10500"
"2026M06","VarmekrEjF","154"
"2026M06","VarmekrF","708"
"2026M06","Vindkraft","2497"
"2026M06","Vattenkraft","4467"
"2026M06","Karnkraft","2008"
"2026M06","Solkraft","666"
